2025-11-28 00:02:40,377 [daml.index.db.threadpool.connection.indexer-6] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(000000000000000029)),2025-11-28T07:00:00Z)
2025-11-28 00:02:40,390 [daml.index.db.threadpool.connection.indexer-6] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(000000000000000029)),2025-11-28T07:00:00Z)
2025-11-28 00:43:56,105 [canton-env-ec-50] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - DOM::local::122085d60efc... authenticated new token with expiry 2025-11-28T08:43:56.104607Z
2025-11-28 00:43:56,105 [canton-env-ec-98] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - MED::local::122085d60efc... authenticated new token with expiry 2025-11-28T08:43:56.104634Z
2025-11-28 00:43:56,105 [canton-env-ec-107] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - PAR::sandbox::1220a2ad1939... authenticated new token with expiry 2025-11-28T08:43:56.104616Z
2025-11-28 00:44:16,097 [canton-env-ec-103] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=topology-manager - The sequencer subscription has been terminated by the server.
2025-11-28 00:44:16,099 [canton-env-ec-53] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-11-28 00:44:16,100 [canton-env-ec-98] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=mediator - The sequencer subscription has been terminated by the server.
2025-11-28 00:44:16,100 [canton-env-ec-100] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-11-28 00:44:16,101 [canton-env-ec-107] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=sandbox/domainId=local::122085d60efc - The sequencer subscription has been terminated by the server.
2025-11-28 00:44:16,101 [canton-env-ec-98] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=sandbox/domainId=local::122085d60efc - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-11-28 00:44:16,167 [canton-env-ec-103] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - MED::local::122085d60efc... subscribes from counter=137
2025-11-28 00:44:16,174 [canton-env-ec-98] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - DOM::local::122085d60efc... subscribes from counter=74
2025-11-28 00:44:16,176 [canton-env-ec-53] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - PAR::sandbox::1220a2ad1939... subscribes from counter=158
2025-11-28 01:02:40,405 [daml.index.db.threadpool.connection.indexer-16] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(000000000000000029)),2025-11-28T08:00:00Z)
2025-11-28 01:02:40,409 [daml.index.db.threadpool.connection.indexer-16] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(000000000000000029)),2025-11-28T08:00:00Z)
2025-11-28 01:43:36,139 [canton-env-ec-82] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - DOM::local::122085d60efc... authenticated new token with expiry 2025-11-28T09:43:36.139421Z
2025-11-28 01:43:36,139 [canton-env-ec-50] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - MED::local::122085d60efc... authenticated new token with expiry 2025-11-28T09:43:36.139430Z
2025-11-28 01:43:36,139 [canton-env-ec-46] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - PAR::sandbox::1220a2ad1939... authenticated new token with expiry 2025-11-28T09:43:36.139430Z
2025-11-28 01:43:56,119 [canton-env-ec-100] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=topology-manager - The sequencer subscription has been terminated by the server.
2025-11-28 01:43:56,120 [canton-env-ec-98] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=sandbox/domainId=local::122085d60efc - The sequencer subscription has been terminated by the server.
2025-11-28 01:43:56,121 [canton-env-ec-107] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=sandbox/domainId=local::122085d60efc - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-11-28 01:43:56,122 [canton-env-ec-51] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=mediator - The sequencer subscription has been terminated by the server.
2025-11-28 01:43:56,122 [canton-env-ec-95] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
